cellLine,drug,doseID,concentration,viability,study
KALS-1,Sorafenib,doses8,8,96.6,CCLE
KARPAS-299,Sorafenib,doses1,0.0025,81,CCLE
KARPAS-299,Sorafenib,doses2,0.008,93.4,CCLE
KARPAS-299,Sorafenib,doses3,0.025,108.92,CCLE
KARPAS-299,Sorafenib,doses4,0.08,95.5,CCLE
KARPAS-299,Sorafenib,doses5,0.25,98.2,CCLE
KARPAS-299,Sorafenib,doses6,0.8,104.11,CCLE
KARPAS-299,Sorafenib,doses7,2.53,102.57,CCLE
KARPAS-299,Sorafenib,doses8,8,98.9,CCLE
KARPAS-422,Sorafenib,doses1,0.0025,92.5,CCLE
KARPAS-422,Sorafenib,doses2,0.008,90.6,CCLE
KARPAS-422,Sorafenib,doses3,0.025,117.1,CCLE
KARPAS-422,Sorafenib,doses4,0.08,95.4,CCLE
KARPAS-422,Sorafenib,doses5,0.25,130.4,CCLE
KARPAS-422,Sorafenib,doses6,0.8,138,CCLE
KARPAS-422,Sorafenib,doses7,2.53,123.1,CCLE
KARPAS-422,Sorafenib,doses8,8,76,CCLE
KG-1,Sorafenib,doses1,0.0025,87,CCLE
KG-1,Sorafenib,doses2,0.008,111.6,CCLE
KG-1,Sorafenib,doses3,0.025,111.5,CCLE
KG-1,Sorafenib,doses4,0.08,98.3,CCLE
KG-1,Sorafenib,doses5,0.25,127.7,CCLE
KG-1,Sorafenib,doses6,0.8,107.01,CCLE
KG-1,Sorafenib,doses7,2.53,66,CCLE
KG-1,Sorafenib,doses8,8,66,CCLE
KNS-42,Sorafenib,doses1,0.0025,74,CCLE
KNS-42,Sorafenib,doses2,0.008,105.19,CCLE
KNS-42,Sorafenib,doses3,0.025,105.38,CCLE
KNS-42,Sorafenib,doses4,0.08,115.7,CCLE
KNS-42,Sorafenib,doses5,0.25,115.4,CCLE
KNS-42,Sorafenib,doses6,0.8,120.7,CCLE
KNS-42,Sorafenib,doses7,2.53,126.5,CCLE
KNS-42,Sorafenib,doses8,8,99.83,CCLE
KNS-81-FD,Sorafenib,doses1,0.0025,104.83,CCLE
KNS-81-FD,Sorafenib,doses2,0.008,97.7,CCLE
KNS-81-FD,Sorafenib,doses3,0.025,106.6,CCLE
KNS-81-FD,Sorafenib,doses4,0.08,117.5,CCLE
KNS-81-FD,Sorafenib,doses5,0.25,111.1,CCLE
KNS-81-FD,Sorafenib,doses6,0.8,107.56,CCLE
KNS-81-FD,Sorafenib,doses7,2.53,101.24,CCLE
KNS-81-FD,Sorafenib,doses8,8,74,CCLE
KU812,Sorafenib,doses1,0.0025,91.9,CCLE
KU812,Sorafenib,doses2,0.008,87,CCLE
KU812,Sorafenib,doses3,0.025,101.84,CCLE
KU812,Sorafenib,doses4,0.08,121.1,CCLE
KU812,Sorafenib,doses5,0.25,95.5,CCLE
KU812,Sorafenib,doses6,0.8,135.1,CCLE
KU812,Sorafenib,doses7,2.53,93.9,CCLE
KU812,Sorafenib,doses8,8,119.4,CCLE
KURAMOCHI,Sorafenib,doses1,0.0025,82,CCLE
KURAMOCHI,Sorafenib,doses2,0.008,89,CCLE
KURAMOCHI,Sorafenib,doses3,0.025,104.82,CCLE
KURAMOCHI,Sorafenib,doses4,0.08,123,CCLE
KURAMOCHI,Sorafenib,doses5,0.25,157,CCLE
KURAMOCHI,Sorafenib,doses6,0.8,122.1,CCLE
KURAMOCHI,Sorafenib,doses7,2.53,93.7,CCLE
KURAMOCHI,Sorafenib,doses8,8,34,CCLE
L-363,Sorafenib,doses1,0.0025,110.6,CCLE
L-363,Sorafenib,doses2,0.008,99.981,CCLE
L-363,Sorafenib,doses3,0.025,108.36,CCLE
L-363,Sorafenib,doses4,0.08,80,CCLE
L-363,Sorafenib,doses5,0.25,120.2,CCLE
L-363,Sorafenib,doses6,0.8,93.2,CCLE
L-363,Sorafenib,doses7,2.53,83,CCLE
L-363,Sorafenib,doses8,8,12,CCLE
L-428,Sorafenib,doses1,0.0025,98.6,CCLE
L-428,Sorafenib,doses2,0.008,97.4,CCLE
L-428,Sorafenib,doses3,0.025,101.92,CCLE
L-428,Sorafenib,doses4,0.08,106.69,CCLE
L-428,Sorafenib,doses5,0.25,96.3,CCLE
L-428,Sorafenib,doses6,0.8,104.32,CCLE
L-428,Sorafenib,doses7,2.53,96.9,CCLE
L-428,Sorafenib,doses8,8,23,CCLE
LP-1,Sorafenib,doses1,0.0025,92.7,CCLE
LP-1,Sorafenib,doses2,0.008,127.1,CCLE
LP-1,Sorafenib,doses3,0.025,168.7,CCLE
LP-1,Sorafenib,doses4,0.08,113.8,CCLE
LP-1,Sorafenib,doses5,0.25,115.4,CCLE
LP-1,Sorafenib,doses6,0.8,101.44,CCLE
LP-1,Sorafenib,doses7,2.53,78,CCLE
LP-1,Sorafenib,doses8,8,33,CCLE
LS-123,Sorafenib,doses1,0.0025,90.5,CCLE
LS-123,Sorafenib,doses2,0.008,90.6,CCLE
LS-123,Sorafenib,doses3,0.025,117,CCLE
LS-123,Sorafenib,doses4,0.08,114.7,CCLE
LS-123,Sorafenib,doses5,0.25,98,CCLE
LS-123,Sorafenib,doses6,0.8,106.52,CCLE
LS-123,Sorafenib,doses7,2.53,103.3,CCLE
LS-123,Sorafenib,doses8,8,93.2,CCLE
LS-513,Sorafenib,doses1,0.0025,117.3,CCLE
LS-513,Sorafenib,doses2,0.008,93.2,CCLE
LS-513,Sorafenib,doses3,0.025,146.4,CCLE
LS-513,Sorafenib,doses4,0.08,69,CCLE
LS-513,Sorafenib,doses5,0.25,142.3,CCLE
LS-513,Sorafenib,doses6,0.8,58,CCLE
LS-513,Sorafenib,doses7,2.53,111.7,CCLE
LS-513,Sorafenib,doses8,8,50,CCLE
MC116,Sorafenib,doses1,0.0025,103.66,CCLE
MC116,Sorafenib,doses2,0.008,70,CCLE
MC116,Sorafenib,doses3,0.025,117.4,CCLE
MC116,Sorafenib,doses4,0.08,91.6,CCLE
MC116,Sorafenib,doses5,0.25,109.48,CCLE
MC116,Sorafenib,doses6,0.8,87,CCLE
MC116,Sorafenib,doses7,2.53,90,CCLE
MC116,Sorafenib,doses8,8,90.5,CCLE
MEG-01,Sorafenib,doses1,0.0025,87,CCLE
MEG-01,Sorafenib,doses2,0.008,100.011,CCLE
MEG-01,Sorafenib,doses3,0.025,104.39,CCLE
MEG-01,Sorafenib,doses4,0.08,102.14,CCLE
MEG-01,Sorafenib,doses5,0.25,103.07,CCLE
MEG-01,Sorafenib,doses6,0.8,115.7,CCLE
MEG-01,Sorafenib,doses7,2.53,91.5,CCLE
MEG-01,Sorafenib,doses8,8,87,CCLE
MPP-89,Sorafenib,doses1,0.0025,88,CCLE
MPP-89,Sorafenib,doses2,0.008,107.92,CCLE
MPP-89,Sorafenib,doses3,0.025,89,CCLE
MPP-89,Sorafenib,doses4,0.08,101.47,CCLE
MPP-89,Sorafenib,doses5,0.25,91.3,CCLE
MPP-89,Sorafenib,doses6,0.8,95.7,CCLE
MPP-89,Sorafenib,doses7,2.53,129.4,CCLE
MPP-89,Sorafenib,doses8,8,105.92,CCLE
MSTO-211H,Sorafenib,doses1,0.0025,104.37,CCLE
MSTO-211H,Sorafenib,doses2,0.008,79,CCLE
MSTO-211H,Sorafenib,doses3,0.025,121.4,CCLE
MSTO-211H,Sorafenib,doses4,0.08,92.4,CCLE
MSTO-211H,Sorafenib,doses5,0.25,115,CCLE
MSTO-211H,Sorafenib,doses6,0.8,109.37,CCLE
MSTO-211H,Sorafenib,doses7,2.53,91.3,CCLE
MSTO-211H,Sorafenib,doses8,8,39,CCLE
NCI-H1092,Sorafenib,doses1,0.0025,95.5,CCLE
NCI-H1092,Sorafenib,doses2,0.008,98,CCLE
NCI-H1092,Sorafenib,doses3,0.025,110.7,CCLE
NCI-H1092,Sorafenib,doses4,0.08,108.21,CCLE
NCI-H1092,Sorafenib,doses5,0.25,110.8,CCLE
NCI-H1092,Sorafenib,doses6,0.8,105.99,CCLE
NCI-H1092,Sorafenib,doses7,2.53,124.8,CCLE
NCI-H1092,Sorafenib,doses8,8,104.78,CCLE
NCI-H1355,Sorafenib,doses1,0.008,105.65,CCLE
NCI-H1355,Sorafenib,doses2,0.025,110.1,CCLE
NCI-H1355,Sorafenib,doses3,0.08,102.15,CCLE
NCI-H1355,Sorafenib,doses4,0.25,124.8,CCLE
NCI-H1355,Sorafenib,doses5,0.8,141,CCLE
NCI-H1355,Sorafenib,doses6,2.53,129.1,CCLE
NCI-H1355,Sorafenib,doses7,8,84,CCLE
NCI-H1581,Sorafenib,doses1,0.0025,99.973,CCLE
NCI-H1581,Sorafenib,doses2,0.008,113.7,CCLE
NCI-H1581,Sorafenib,doses3,0.025,93,CCLE
NCI-H1581,Sorafenib,doses4,0.08,113.6,CCLE
NCI-H1581,Sorafenib,doses5,0.25,106.31,CCLE
NCI-H1581,Sorafenib,doses6,0.8,142.2,CCLE
NCI-H1581,Sorafenib,doses7,2.53,98,CCLE
NCI-H1581,Sorafenib,doses8,8,90,CCLE
NCI-H1648,Sorafenib,doses1,0.0025,102.87,CCLE
NCI-H1648,Sorafenib,doses2,0.008,91.1,CCLE
NCI-H1648,Sorafenib,doses3,0.025,89,CCLE
NCI-H1648,Sorafenib,doses4,0.08,79,CCLE
NCI-H1648,Sorafenib,doses5,0.25,100.61,CCLE
NCI-H1648,Sorafenib,doses6,0.8,120.9,CCLE
NCI-H1648,Sorafenib,doses7,2.53,101.43,CCLE
NCI-H1648,Sorafenib,doses8,8,102.37,CCLE
NCI-H1666,Sorafenib,doses1,0.0025,63,CCLE
NCI-H1666,Sorafenib,doses2,0.008,96.7,CCLE
NCI-H1666,Sorafenib,doses3,0.025,106.47,CCLE
NCI-H1666,Sorafenib,doses4,0.08,109.18,CCLE
NCI-H1666,Sorafenib,doses5,0.25,105.11,CCLE
NCI-H1666,Sorafenib,doses6,0.8,116.7,CCLE
NCI-H1666,Sorafenib,doses7,2.53,83,CCLE
NCI-H1666,Sorafenib,doses8,8,72,CCLE
NCI-H1694,Sorafenib,doses1,0.0025,106.24,CCLE
NCI-H1694,Sorafenib,doses2,0.008,81,CCLE
NCI-H1694,Sorafenib,doses3,0.025,115.1,CCLE
NCI-H1694,Sorafenib,doses4,0.08,115.5,CCLE
NCI-H1694,Sorafenib,doses5,0.25,99.39,CCLE
NCI-H1694,Sorafenib,doses6,0.8,77,CCLE
NCI-H1694,Sorafenib,doses7,2.53,133.3,CCLE
NCI-H1694,Sorafenib,doses8,8,93.2,CCLE
NCI-H1975,Sorafenib,doses1,0.0025,103.3,CCLE
NCI-H1975,Sorafenib,doses2,0.008,91,CCLE
NCI-H1975,Sorafenib,doses3,0.025,97.9,CCLE
NCI-H1975,Sorafenib,doses4,0.08,91.2,CCLE
NCI-H1975,Sorafenib,doses5,0.25,123.7,CCLE
NCI-H1975,Sorafenib,doses6,0.8,110.3,CCLE
NCI-H1975,Sorafenib,doses7,2.53,117.7,CCLE
NCI-H1975,Sorafenib,doses8,8,86,CCLE
NCI-H226,Sorafenib,doses1,0.0025,106.99,CCLE
NCI-H226,Sorafenib,doses2,0.008,88,CCLE
NCI-H226,Sorafenib,doses3,0.025,102.55,CCLE
NCI-H226,Sorafenib,doses4,0.08,78,CCLE
NCI-H226,Sorafenib,doses5,0.25,124.8,CCLE
NCI-H226,Sorafenib,doses6,0.8,109.86,CCLE
NCI-H226,Sorafenib,doses7,2.53,124.9,CCLE
NCI-H226,Sorafenib,doses8,8,57,CCLE
NCI-H23,Sorafenib,doses1,0.008,99.89,CCLE
NCI-H23,Sorafenib,doses2,0.025,103.3,CCLE
NCI-H23,Sorafenib,doses3,0.08,91.3,CCLE
NCI-H23,Sorafenib,doses4,0.25,106.59,CCLE
NCI-H23,Sorafenib,doses5,0.8,118.6,CCLE
NCI-H23,Sorafenib,doses6,2.53,110.9,CCLE
NCI-H23,Sorafenib,doses7,8,81,CCLE
NCI-H747,Sorafenib,doses1,0.0025,95.3,CCLE
NCI-H747,Sorafenib,doses2,0.008,105.28,CCLE
NCI-H747,Sorafenib,doses3,0.025,100.018,CCLE
NCI-H747,Sorafenib,doses4,0.08,112,CCLE
NCI-H747,Sorafenib,doses5,0.25,123.2,CCLE
NCI-H747,Sorafenib,doses6,0.8,130.9,CCLE
NCI-H747,Sorafenib,doses7,2.53,95.8,CCLE
NCI-H747,Sorafenib,doses8,8,71,CCLE
OCI-AML2,Sorafenib,doses1,0.0025,97.3,CCLE
OCI-AML2,Sorafenib,doses2,0.008,94.4,CCLE
OCI-AML2,Sorafenib,doses3,0.025,104.85,CCLE
OCI-AML2,Sorafenib,doses4,0.08,102.61,CCLE
OCI-AML2,Sorafenib,doses5,0.25,85,CCLE
OCI-AML2,Sorafenib,doses6,0.8,94.8,CCLE
OCI-AML2,Sorafenib,doses7,2.53,37,CCLE
OCI-AML2,Sorafenib,doses8,8,5,CCLE
ONS-76,Sorafenib,doses1,0.0025,96.2,CCLE
ONS-76,Sorafenib,doses2,0.008,101.48,CCLE
ONS-76,Sorafenib,doses3,0.025,109.29,CCLE
ONS-76,Sorafenib,doses4,0.08,107.71,CCLE
ONS-76,Sorafenib,doses5,0.25,100.14,CCLE
ONS-76,Sorafenib,doses6,0.8,103.96,CCLE
ONS-76,Sorafenib,doses7,2.53,92.1,CCLE
ONS-76,Sorafenib,doses8,8,4,CCLE
OPM-2,Sorafenib,doses1,0.0025,99.984,CCLE
OPM-2,Sorafenib,doses2,0.008,99.85,CCLE
OPM-2,Sorafenib,doses3,0.025,87,CCLE
OPM-2,Sorafenib,doses4,0.08,83,CCLE
OPM-2,Sorafenib,doses5,0.25,109.08,CCLE
OPM-2,Sorafenib,doses6,0.8,131.3,CCLE
OPM-2,Sorafenib,doses7,2.53,141.8,CCLE
OPM-2,Sorafenib,doses8,8,91.1,CCLE
OVCAR-4,Sorafenib,doses1,0.0025,95.5,CCLE
OVCAR-4,Sorafenib,doses2,0.008,105.89,CCLE
OVCAR-4,Sorafenib,doses3,0.025,95.5,CCLE
OVCAR-4,Sorafenib,doses4,0.08,100.87,CCLE
OVCAR-4,Sorafenib,doses5,0.25,94.6,CCLE
OVCAR-4,Sorafenib,doses6,0.8,106.71,CCLE
OVCAR-4,Sorafenib,doses7,2.53,94.2,CCLE
OVCAR-4,Sorafenib,doses8,8,37,CCLE
P31-FUJ,Sorafenib,doses1,0.0025,100.29,CCLE
P31-FUJ,Sorafenib,doses2,0.008,107.62,CCLE
P31-FUJ,Sorafenib,doses3,0.025,84,CCLE
P31-FUJ,Sorafenib,doses4,0.08,118.9,CCLE
P31-FUJ,Sorafenib,doses5,0.25,120.3,CCLE
P31-FUJ,Sorafenib,doses6,0.8,107.23,CCLE
P31-FUJ,Sorafenib,doses7,2.53,99.21,CCLE
P31-FUJ,Sorafenib,doses8,8,8,CCLE
Raji,Sorafenib,doses1,0.0025,107.69,CCLE
Raji,Sorafenib,doses2,0.008,101.68,CCLE
Raji,Sorafenib,doses3,0.025,130.5,CCLE
Raji,Sorafenib,doses4,0.08,111.3,CCLE
Raji,Sorafenib,doses5,0.25,111.4,CCLE
Raji,Sorafenib,doses6,0.8,109.57,CCLE
Raji,Sorafenib,doses7,2.53,106.25,CCLE
Raji,Sorafenib,doses8,8,109.02,CCLE
REH,Sorafenib,doses1,0.0025,97.9,CCLE
REH,Sorafenib,doses2,0.008,115.3,CCLE
REH,Sorafenib,doses3,0.025,103.88,CCLE
REH,Sorafenib,doses4,0.08,104.56,CCLE
REH,Sorafenib,doses5,0.25,106.1,CCLE
REH,Sorafenib,doses6,0.8,113.7,CCLE
REH,Sorafenib,doses7,2.53,109.81,CCLE
REH,Sorafenib,doses8,8,58,CCLE
RKO,Sorafenib,doses1,0.0025,72,CCLE
RKO,Sorafenib,doses2,0.008,90.6,CCLE
RKO,Sorafenib,doses3,0.025,98.9,CCLE
RKO,Sorafenib,doses4,0.08,97,CCLE
RKO,Sorafenib,doses5,0.25,103.11,CCLE
RKO,Sorafenib,doses6,0.8,98.6,CCLE
RKO,Sorafenib,doses7,2.53,102.93,CCLE
RKO,Sorafenib,doses8,8,51,CCLE
RL95-2,Sorafenib,doses1,0.0025,89,CCLE
RL95-2,Sorafenib,doses2,0.008,106.13,CCLE
RL95-2,Sorafenib,doses3,0.025,102.6,CCLE
RL95-2,Sorafenib,doses4,0.08,110.2,CCLE
RL95-2,Sorafenib,doses5,0.25,136.3,CCLE
RL95-2,Sorafenib,doses6,0.8,146.2,CCLE
RL95-2,Sorafenib,doses7,2.53,138.8,CCLE
RL95-2,Sorafenib,doses8,8,125.7,CCLE
RPMI-8402,Sorafenib,doses1,0.0025,100.94,CCLE
RPMI-8402,Sorafenib,doses2,0.008,85,CCLE
RPMI-8402,Sorafenib,doses3,0.025,91.4,CCLE
RPMI-8402,Sorafenib,doses4,0.08,100.25,CCLE
RPMI-8402,Sorafenib,doses5,0.25,106.52,CCLE
RPMI-8402,Sorafenib,doses6,0.8,102.31,CCLE
RPMI-8402,Sorafenib,doses7,2.53,94.9,CCLE
RPMI-8402,Sorafenib,doses8,8,37,CCLE
SF126,Sorafenib,doses1,0.0025,98,CCLE
SF126,Sorafenib,doses2,0.008,100.72,CCLE
SF126,Sorafenib,doses3,0.025,101.54,CCLE
SF126,Sorafenib,doses4,0.08,106.98,CCLE
SF126,Sorafenib,doses5,0.25,104.37,CCLE
SF126,Sorafenib,doses6,0.8,105.31,CCLE
SF126,Sorafenib,doses7,2.53,100.74,CCLE
SF126,Sorafenib,doses8,8,38,CCLE
SHP-77,Sorafenib,doses1,0.0025,104.57,CCLE
SHP-77,Sorafenib,doses2,0.008,95.6,CCLE
SHP-77,Sorafenib,doses3,0.025,109.69,CCLE
SHP-77,Sorafenib,doses4,0.08,94.4,CCLE
SHP-77,Sorafenib,doses5,0.25,112.8,CCLE
SHP-77,Sorafenib,doses6,0.8,98.6,CCLE
SHP-77,Sorafenib,doses7,2.53,121.8,CCLE
SHP-77,Sorafenib,doses8,8,111.8,CCLE
SIMA,Sorafenib,doses1,0.0025,95.9,CCLE
SIMA,Sorafenib,doses2,0.008,69,CCLE
SIMA,Sorafenib,doses3,0.025,83,CCLE
SIMA,Sorafenib,doses4,0.08,93.1,CCLE
SIMA,Sorafenib,doses5,0.25,128.1,CCLE
SIMA,Sorafenib,doses6,0.8,109.68,CCLE
SIMA,Sorafenib,doses7,2.53,125.7,CCLE
SIMA,Sorafenib,doses8,8,45,CCLE
SK-MEL-2,Sorafenib,doses1,0.0025,125.1,CCLE
SK-MEL-2,Sorafenib,doses2,0.008,80,CCLE
SK-MEL-2,Sorafenib,doses3,0.025,95.1,CCLE
SK-MEL-2,Sorafenib,doses4,0.08,73,CCLE
SK-MEL-2,Sorafenib,doses5,0.25,94.5,CCLE
SK-MEL-2,Sorafenib,doses6,0.8,105.13,CCLE
SK-MEL-2,Sorafenib,doses7,2.53,101.95,CCLE
SK-MEL-2,Sorafenib,doses8,8,105.48,CCLE
SK-MM-2,Sorafenib,doses1,0.0025,97.8,CCLE
SK-MM-2,Sorafenib,doses2,0.008,99.959,CCLE
SK-MM-2,Sorafenib,doses3,0.025,96.7,CCLE
SK-MM-2,Sorafenib,doses4,0.08,99.86,CCLE
SK-MM-2,Sorafenib,doses5,0.25,107.52,CCLE
SK-MM-2,Sorafenib,doses6,0.8,104.1,CCLE
SK-MM-2,Sorafenib,doses7,2.53,95.6,CCLE
SK-MM-2,Sorafenib,doses8,8,23,CCLE
NCI-SNU-1,Sorafenib,doses1,0.0025,86,CCLE
NCI-SNU-1,Sorafenib,doses2,0.008,96.8,CCLE
NCI-SNU-1,Sorafenib,doses3,0.025,100.81,CCLE
NCI-SNU-1,Sorafenib,doses4,0.08,103.9,CCLE
NCI-SNU-1,Sorafenib,doses5,0.25,105.59,CCLE
NCI-SNU-1,Sorafenib,doses6,0.8,103.11,CCLE
NCI-SNU-1,Sorafenib,doses7,2.53,82,CCLE
NCI-SNU-1,Sorafenib,doses8,8,32,CCLE
NCI-SNU-16,Sorafenib,doses1,0.0025,80,CCLE
NCI-SNU-16,Sorafenib,doses2,0.008,89,CCLE
NCI-SNU-16,Sorafenib,doses3,0.025,107.13,CCLE
NCI-SNU-16,Sorafenib,doses4,0.08,94.2,CCLE
NCI-SNU-16,Sorafenib,doses5,0.25,122.7,CCLE
NCI-SNU-16,Sorafenib,doses6,0.8,76,CCLE
NCI-SNU-16,Sorafenib,doses7,2.53,101.38,CCLE
NCI-SNU-16,Sorafenib,doses8,8,54,CCLE
SUP-T1,Sorafenib,doses1,0.0025,89,CCLE
SUP-T1,Sorafenib,doses2,0.008,91.6,CCLE
SUP-T1,Sorafenib,doses3,0.025,109.01,CCLE
SUP-T1,Sorafenib,doses4,0.08,102.46,CCLE
SUP-T1,Sorafenib,doses5,0.25,110.4,CCLE
SUP-T1,Sorafenib,doses6,0.8,102.56,CCLE
SUP-T1,Sorafenib,doses7,2.53,102.93,CCLE
SUP-T1,Sorafenib,doses8,8,99.19,CCLE
TE-9,Sorafenib,doses1,0.0025,92.2,CCLE
TE-9,Sorafenib,doses2,0.008,102.43,CCLE
TE-9,Sorafenib,doses3,0.025,99.914,CCLE
TE-9,Sorafenib,doses4,0.08,97,CCLE
TE-9,Sorafenib,doses5,0.25,105.58,CCLE
TE-9,Sorafenib,doses6,0.8,111.2,CCLE
TE-9,Sorafenib,doses7,2.53,107.15,CCLE
TE-9,Sorafenib,doses8,8,36,CCLE
U-87-MG,Sorafenib,doses1,0.0025,91.5,CCLE
U-87-MG,Sorafenib,doses2,0.008,104.51,CCLE
U-87-MG,Sorafenib,doses3,0.025,109.53,CCLE
U-87-MG,Sorafenib,doses4,0.08,105.69,CCLE
U-87-MG,Sorafenib,doses5,0.25,106.04,CCLE
U-87-MG,Sorafenib,doses6,0.8,115.6,CCLE
U-87-MG,Sorafenib,doses7,2.53,100.64,CCLE
U-87-MG,Sorafenib,doses8,8,102.12,CCLE
8-MG-BA,Sorafenib,doses1,0.0025,82,CCLE
8-MG-BA,Sorafenib,doses2,0.008,100.84,CCLE
8-MG-BA,Sorafenib,doses3,0.025,103.94,CCLE
8-MG-BA,Sorafenib,doses4,0.08,107.95,CCLE
8-MG-BA,Sorafenib,doses5,0.25,108.83,CCLE
8-MG-BA,Sorafenib,doses6,0.8,118.3,CCLE
8-MG-BA,Sorafenib,doses7,2.53,120.3,CCLE
8-MG-BA,Sorafenib,doses8,8,112.3,CCLE
Calu-6,Sorafenib,doses1,0.0025,91.8,CCLE
Calu-6,Sorafenib,doses2,0.008,96.1,CCLE
Calu-6,Sorafenib,doses3,0.025,101.92,CCLE
Calu-6,Sorafenib,doses4,0.08,85,CCLE
Calu-6,Sorafenib,doses5,0.25,99.44,CCLE
Calu-6,Sorafenib,doses6,0.8,88,CCLE
Calu-6,Sorafenib,doses7,2.53,106.64,CCLE
Calu-6,Sorafenib,doses8,8,76,CCLE
GI-1,Sorafenib,doses1,0.0025,97.1,CCLE
GI-1,Sorafenib,doses2,0.008,101.62,CCLE
GI-1,Sorafenib,doses3,0.025,95,CCLE
GI-1,Sorafenib,doses4,0.08,83,CCLE
GI-1,Sorafenib,doses5,0.25,103.61,CCLE
GI-1,Sorafenib,doses6,0.8,89,CCLE
GI-1,Sorafenib,doses7,2.53,98.5,CCLE
GI-1,Sorafenib,doses8,8,92.8,CCLE
HD-MY-Z,Sorafenib,doses1,0.0025,71,CCLE
HD-MY-Z,Sorafenib,doses2,0.008,82,CCLE
HD-MY-Z,Sorafenib,doses3,0.025,104.71,CCLE
HD-MY-Z,Sorafenib,doses4,0.08,99.15,CCLE
HD-MY-Z,Sorafenib,doses5,0.25,104.48,CCLE
HD-MY-Z,Sorafenib,doses6,0.8,100.76,CCLE
HD-MY-Z,Sorafenib,doses7,2.53,108.42,CCLE
HD-MY-Z,Sorafenib,doses8,8,49,CCLE
LOXIMVI,Sorafenib,doses1,0.0025,93.8,CCLE
LOXIMVI,Sorafenib,doses2,0.008,99.52,CCLE
LOXIMVI,Sorafenib,doses3,0.025,97.5,CCLE
LOXIMVI,Sorafenib,doses4,0.08,99.16,CCLE
LOXIMVI,Sorafenib,doses5,0.25,103.04,CCLE
LOXIMVI,Sorafenib,doses6,0.8,107.55,CCLE
LOXIMVI,Sorafenib,doses7,2.53,95.9,CCLE
LOXIMVI,Sorafenib,doses8,8,59,CCLE
LS-411N,Sorafenib,doses1,0.0025,87,CCLE
LS-411N,Sorafenib,doses2,0.008,85,CCLE
LS-411N,Sorafenib,doses3,0.025,102.36,CCLE
LS-411N,Sorafenib,doses4,0.08,92.3,CCLE
LS-411N,Sorafenib,doses5,0.25,116,CCLE
LS-411N,Sorafenib,doses6,0.8,93.3,CCLE
LS-411N,Sorafenib,doses7,2.53,96.6,CCLE
LS-411N,Sorafenib,doses8,8,90,CCLE
NCI-H1155,Sorafenib,doses1,0.0025,79,CCLE
NCI-H1155,Sorafenib,doses2,0.008,83,CCLE
NCI-H1155,Sorafenib,doses3,0.025,112.6,CCLE
NCI-H1155,Sorafenib,doses4,0.08,96.4,CCLE
NCI-H1155,Sorafenib,doses5,0.25,118.4,CCLE
NCI-H1155,Sorafenib,doses6,0.8,129.4,CCLE
NCI-H1155,Sorafenib,doses7,2.53,115.5,CCLE
NCI-H1155,Sorafenib,doses8,8,99.18,CCLE
NCI-H1299,Sorafenib,doses1,0.0025,84,CCLE
NCI-H1299,Sorafenib,doses2,0.008,96.4,CCLE
NCI-H1299,Sorafenib,doses3,0.025,70,CCLE
NCI-H1299,Sorafenib,doses4,0.08,84,CCLE
NCI-H1299,Sorafenib,doses5,0.25,93.4,CCLE
NCI-H1299,Sorafenib,doses6,0.8,106.2,CCLE
NCI-H1299,Sorafenib,doses7,2.53,102.67,CCLE
NCI-H1299,Sorafenib,doses8,8,87,CCLE
PSN1,Sorafenib,doses1,0.0025,78,CCLE
PSN1,Sorafenib,doses2,0.008,98,CCLE
PSN1,Sorafenib,doses3,0.025,91.9,CCLE
PSN1,Sorafenib,doses4,0.08,104.02,CCLE
PSN1,Sorafenib,doses5,0.25,94.7,CCLE
PSN1,Sorafenib,doses6,0.8,103.76,CCLE
PSN1,Sorafenib,doses7,2.53,99.79,CCLE
PSN1,Sorafenib,doses8,8,96.8,CCLE
SJSA-1,Sorafenib,doses1,0.0025,88,CCLE
SJSA-1,Sorafenib,doses2,0.008,88,CCLE
SJSA-1,Sorafenib,doses3,0.025,101.67,CCLE
SJSA-1,Sorafenib,doses4,0.08,95.4,CCLE
SJSA-1,Sorafenib,doses5,0.25,96.4,CCLE
SJSA-1,Sorafenib,doses6,0.8,88,CCLE
SJSA-1,Sorafenib,doses7,2.53,107.25,CCLE
SJSA-1,Sorafenib,doses8,8,80,CCLE
SK-LMS-1,Sorafenib,doses1,0.0025,85,CCLE
SK-LMS-1,Sorafenib,doses2,0.008,87,CCLE
SK-LMS-1,Sorafenib,doses3,0.025,92.6,CCLE
SK-LMS-1,Sorafenib,doses4,0.08,100.96,CCLE
SK-LMS-1,Sorafenib,doses5,0.25,108.2,CCLE
SK-LMS-1,Sorafenib,doses6,0.8,126.2,CCLE
SK-LMS-1,Sorafenib,doses7,2.53,121.5,CCLE
SK-LMS-1,Sorafenib,doses8,8,101.13,CCLE
SK-N-DZ,Sorafenib,doses1,0.0025,98.9,CCLE
SK-N-DZ,Sorafenib,doses2,0.008,102.81,CCLE
SK-N-DZ,Sorafenib,doses3,0.025,99.54,CCLE
SK-N-DZ,Sorafenib,doses4,0.08,105.85,CCLE
SK-N-DZ,Sorafenib,doses5,0.25,101.43,CCLE
SK-N-DZ,Sorafenib,doses6,0.8,114.3,CCLE
SK-N-DZ,Sorafenib,doses7,2.53,109.32,CCLE
SK-N-DZ,Sorafenib,doses8,8,93.9,CCLE
